,Name,Link,Livability,Amenities,Cost of Living,Crime,Employment,Housing,Schools,Weather,Population,Median home value,Cost_of_Living_Info,Crime_Info,Employment_Info,Housing_Info,Schools_Info
195,Iowa City,https://www.areavibes.com/iowa+city-ia/livability/,77,A+,C,B,C-,F,A+,D-," 72,385"," $191,100",Cost of living is 11% higher than Iowa,Total crime is 5% higher than Iowa,Household income is 22% lower than Iowa,Home value is 44% higher than Iowa,HS graduation rate is 6% higher than Iowa
196,Bethlehem,https://www.areavibes.com/bethlehem-pa/livability/,63,A+,C-,F,D+,F,D+,D+," 75,110"," $168,900",Cost of living is equal to Pennsylvania,Total crime is 32% higher than Pennsylvania,Household income is 10% lower than Pennsylvania,Home value is 1% higher than Pennsylvania,HS graduation rate is 2% lower than Pennsylvania
197,Waterville,https://www.areavibes.com/waterville-me/livability/,60,A+,C,C-,F,F,F,F," 16,134"," $121,300",Cost of living is 8% lower than Maine,Total crime is 170% higher than Maine,Household income is 36% lower than Maine,Home value is 31% lower than Maine,HS graduation rate is 3% lower than Maine
198,Richardson,https://www.areavibes.com/richardson-tx/livability/,90,A+,D,A-,B-,A+,A+,B-," 108,350"," $209,500",Cost of living is 17% higher than Texas,Total crime is 28% lower than Texas,Household income is 37% higher than Texas,Home value is 47% higher than Texas,HS graduation rate is 17% higher than Texas
199,Siloam Springs,https://www.areavibes.com/siloam+springs-ar/livability/,72,A+,B+,D,D,A-,F,C-," 16,095"," $118,700",Cost of living is 3% higher than Arkansas,Total crime is 1% lower than Arkansas,Household income is 6% higher than Arkansas,Home value is 3% higher than Arkansas,HS graduation rate is 6% lower than Arkansas
200,Chico,https://www.areavibes.com/chico-ca/livability/,65,A+,F,F,D-,F,D,B+," 89,377"," $270,900",Cost of living is 16% lower than California,Total crime is 47% higher than California,Household income is 32% lower than California,Home value is 34% lower than California,HS graduation rate is 13% higher than California
201,Allendale,https://www.areavibes.com/allendale-mi/livability/,62,F,C+,D,F,C+,C,D-," 19,475"," $161,500",Cost of living is 8% higher than Michigan,Total crime is 8% higher than Michigan,Household income is 14% lower than Michigan,Home value is 26% higher than Michigan,HS graduation rate is 6% higher than Michigan
202,Minneapolis,https://www.areavibes.com/minneapolis-mn/livability/,62,A+,D-,F,C-,B+,F,F," 404,670"," $212,800",Cost of living is 4% higher than Minnesota,Total crime is 136% higher than Minnesota,Household income is 17% lower than Minnesota,Home value is 11% higher than Minnesota,HS graduation rate is 4% lower than Minnesota
203,Gambier,https://www.areavibes.com/gambier-oh/livability/,78,F,C+,A+,C-,B,A+,D," 2,469"," $216,500",Cost of living is 4% higher than Ohio,Total crime is 64% lower than Ohio,Household income is 39% higher than Ohio,Home value is 64% higher than Ohio,HS graduation rate is 16% higher than Ohio
204,Allentown,https://www.areavibes.com/allentown-pa/livability/,66,A+,C+,D-,F,C-,F,D+," 119,624"," $126,100",Cost of living is 5% lower than Pennsylvania,Total crime is 63% higher than Pennsylvania,Household income is 32% lower than Pennsylvania,Home value is 25% lower than Pennsylvania,HS graduation rate is 16% lower than Pennsylvania
205,Cedarville,https://www.areavibes.com/cedarville-oh/livability/,74,C-,B,B,F,C,A+,D," 4,011"," $121,500",Cost of living is 1% lower than Ohio,Total crime is 14% lower than Ohio,Household income is 16% lower than Ohio,Home value is 8% lower than Ohio,HS graduation rate is 10% higher than Ohio
206,New York,https://www.areavibes.com/new+york-ny/livability/,62,A+,F,D-,C-,D+,D,C-," 8,461,961"," $508,900",Cost of living is 40% higher than New York,Total crime is 6% higher than New York,Household income is 9% lower than New York,Home value is 78% higher than New York,HS graduation rate is 6% lower than New York
207,New Orleans,https://www.areavibes.com/new+orleans-la/livability/,71,A+,C,F,D-,D-,A+,B+," 382,922"," $197,000",Cost of living is 8% higher than Louisiana,Total crime is 37% higher than Louisiana,Household income is 18% lower than Louisiana,Home value is 33% higher than Louisiana,HS graduation rate is 6% higher than Louisiana
208,Lowell,https://www.areavibes.com/lowell-ma/livability/,66,A+,F,B-,D-,D,D,D," 109,871"," $234,100",Cost of living is 5% lower than Massachusetts,Total crime is 26% higher than Massachusetts,Household income is 34% lower than Massachusetts,Home value is 31% lower than Massachusetts,HS graduation rate is 14% lower than Massachusetts
209,Eugene,https://www.areavibes.com/eugene-or/livability/,68,A+,F,D-,D,D-,C+,C," 161,649"," $246,400",Cost of living is equal to Oregon,Total crime is 26% higher than Oregon,Household income is 16% lower than Oregon,Home value is equal to Oregon,HS graduation rate is 5% higher than Oregon
210,Saratoga Springs,https://www.areavibes.com/saratoga+springs-ny/livability/,76,A+,F,A-,B-,D,A+,F," 27,447"," $332,800",Cost of living is 2% higher than New York,Total crime is 2% lower than New York,Household income is 21% higher than New York,Home value is 16% higher than New York,HS graduation rate is 12% higher than New York
211,Ithaca,https://www.areavibes.com/ithaca-ny/livability/,68,A+,D+,B-,D-,F,B,D-," 30,625"," $219,100",Cost of living is 12% lower than New York,Total crime is 65% higher than New York,Household income is 50% lower than New York,Home value is 23% lower than New York,HS graduation rate is 11% higher than New York
212,Nashville,https://www.areavibes.com/nashville-tn/livability/,69,A+,C-,F,D+,B+,D-,C+," 643,771"," $174,600",Cost of living is 8% higher than Tennessee,Total crime is 38% higher than Tennessee,Household income is 7% higher than Tennessee,Home value is 20% higher than Tennessee,HS graduation rate is 5% higher than Tennessee
213,Whitewater,https://www.areavibes.com/whitewater-wi/livability/,67,A+,C-,A-,F,F,C,F," 14,840"," $160,100",Cost of living is 4% higher than Wisconsin,Total crime is 26% lower than Wisconsin,Household income is 43% lower than Wisconsin,Home value is 4% lower than Wisconsin,HS graduation rate is 1% higher than Wisconsin
214,Redlands,https://www.areavibes.com/redlands-ca/livability/,72,A+,F,D+,C,C-,C-,A-," 70,442"," $326,800",Cost of living is 8% lower than California,Total crime is 35% higher than California,Household income is 4% higher than California,Home value is 20% lower than California,HS graduation rate is 10% higher than California
215,Salisbury,https://www.areavibes.com/salisbury-md/livability/,57,A+,C,F,D-,F,F,C," 32,338"," $154,000",Cost of living is 18% lower than Maryland,Total crime is 131% higher than Maryland,Household income is 50% lower than Maryland,Home value is 47% lower than Maryland,HS graduation rate is 3% lower than Maryland
216,Charleston,https://www.areavibes.com/charleston-il/livability/,66,A,B+,A,F,F,F,D+," 21,257"," $95,300",Cost of living is 14% lower than Illinois,Total crime is 70% lower than Illinois,Household income is 54% lower than Illinois,Home value is 45% lower than Illinois,HS graduation rate is equal to Illinois
217,Santa Cruz,https://www.areavibes.com/santa+cruz-ca/livability/,63,A+,F,F,C-,D-,B,B," 63,310"," $707,600",Cost of living is 31% higher than California,Total crime is 113% higher than California,Household income is 2% lower than California,Home value is 73% higher than California,HS graduation rate is 15% higher than California
218,Beloit,https://www.areavibes.com/beloit-wi/livability/,67,A+,A-,D,F,C,F,D-," 36,812"," $85,000",Cost of living is 14% lower than Wisconsin,Total crime is 62% higher than Wisconsin,Household income is 31% lower than Wisconsin,Home value is 49% lower than Wisconsin,HS graduation rate is 15% lower than Wisconsin
219,Fort Collins,https://www.areavibes.com/fort+collins-co/livability/,71,A+,D-,B-,C-,D+,D+,D," 157,251"," $285,400",Cost of living is 2% higher than Colorado,Total crime is 10% lower than Colorado,Household income is 8% lower than Colorado,Home value is 8% higher than Colorado,HS graduation rate is 8% higher than Colorado
220,Middlebury,https://www.areavibes.com/middlebury-vt/livability/,71,A+,F,A+,D+,F,A-,F," 6,922"," $266,600",Cost of living is 4% higher than Vermont,Total crime is 34% lower than Vermont,Household income is 19% lower than Vermont,Home value is 22% higher than Vermont,HS graduation rate is 2% higher than Vermont
221,Grinnell,https://www.areavibes.com/grinnell-ia/livability/,69,A-,B+,F,D+,F,A+,F," 9,112"," $138,500",Cost of living is 2% lower than Iowa,Total crime is 37% higher than Iowa,Household income is 16% lower than Iowa,Home value is 4% higher than Iowa,HS graduation rate is 1% higher than Iowa
222,Pittsburgh,https://www.areavibes.com/pittsburgh-pa/livability/,72,A+,B-,F,D+,B,C-,D+," 305,305"," $100,800",Cost of living is 8% lower than Pennsylvania,Total crime is 92% higher than Pennsylvania,Household income is 23% lower than Pennsylvania,Home value is 40% lower than Pennsylvania,HS graduation rate is 2% higher than Pennsylvania
223,East Lansing,https://www.areavibes.com/east+lansing-mi/livability/,76,A+,C,A-,F,F,A+,D-," 48,395"," $176,500",Cost of living is 10% higher than Michigan,Total crime is 22% lower than Michigan,Household income is 33% lower than Michigan,Home value is 38% higher than Michigan,HS graduation rate is 11% higher than Michigan
224,Burlington,https://www.areavibes.com/burlington-vt/livability/,63,A+,F,C,D,F,C-,F," 42,556"," $264,300",Cost of living is 6% higher than Vermont,Total crime is 92% higher than Vermont,Household income is 17% lower than Vermont,Home value is 21% higher than Vermont,HS graduation rate is 1% lower than Vermont
225,Conway,https://www.areavibes.com/conway-ar/livability/,68,A+,A-,F,D+,D-,F,C+," 64,184"," $161,400",Cost of living is equal to Arkansas,Total crime is 9% higher than Arkansas,Household income is 11% higher than Arkansas,Home value is 41% higher than Arkansas,HS graduation rate is 14% higher than Arkansas
226,Lafayette,https://www.areavibes.com/lafayette-la/livability/,73,A+,C+,F,C-,F,A-,B+," 125,808"," $177,100",Cost of living is 4% higher than Louisiana,Total crime is 30% higher than Louisiana,Household income is 5% higher than Louisiana,Home value is 19% higher than Louisiana,HS graduation rate is 5% higher than Louisiana
227,Miami,https://www.areavibes.com/miami-fl/livability/,64,A+,D-,F,F,F,D-,A," 432,622"," $241,200",Cost of living is 10% higher than Florida,Total crime is 62% higher than Florida,Household income is 35% lower than Florida,Home value is 45% higher than Florida,HS graduation rate is 13% lower than Florida
228,Lancaster,https://www.areavibes.com/lancaster-pa/livability/,58,A+,B-,F,F,F,D-,D," 59,341"," $109,300",Cost of living is 8% lower than Pennsylvania,Total crime is 118% higher than Pennsylvania,Household income is 34% lower than Pennsylvania,Home value is 35% lower than Pennsylvania,HS graduation rate is 20% lower than Pennsylvania
229,Collegeville,https://www.areavibes.com/collegeville-pa/livability/,82,A+,F,A+,B,C,A+,D," 5,279"," $302,800",Cost of living is 25% higher than Pennsylvania,Total crime is 51% lower than Pennsylvania,Household income is 93% higher than Pennsylvania,Home value is 81% higher than Pennsylvania,HS graduation rate is 12% higher than Pennsylvania
230,Hamden,https://www.areavibes.com/hamden-oh/livability/,60,F,A,F,F,D,C,C, 951," $65,200",Cost of living is 12% lower than Ohio,Total crime is 53% higher than Ohio,Household income is 52% lower than Ohio,Home value is 51% lower than Ohio,HS graduation rate is 25% lower than Ohio
231,La Crosse,https://www.areavibes.com/la+crosse-wi/livability/,68,A+,B-,D,D,D-,D,F," 52,140"," $131,700",Cost of living is 3% lower than Wisconsin,Total crime is 108% higher than Wisconsin,Household income is 25% lower than Wisconsin,Home value is 21% lower than Wisconsin,HS graduation rate is 3% higher than Wisconsin
232,New Ulm,https://www.areavibes.com/new+ulm-mn/livability/,77,A+,C+,A,C,B-,C,F," 13,279"," $133,100",Cost of living is 10% lower than Minnesota,Total crime is 39% lower than Minnesota,Household income is 17% lower than Minnesota,Home value is 30% lower than Minnesota,HS graduation rate is 1% lower than Minnesota
233,Dubuque,https://www.areavibes.com/dubuque-ia/livability/,75,A+,B,C+,D+,F,A+,F," 58,535"," $133,400",Cost of living is 1% higher than Iowa,Total crime is 25% higher than Iowa,Household income is 12% lower than Iowa,Home value is equal to Iowa,HS graduation rate is equal to Iowa
234,Ann Arbor,https://www.areavibes.com/ann+arbor-mi/livability/,79,A+,D-,B+,C+,C+,B+,D-," 118,087"," $250,200",Cost of living is 23% higher than Michigan,Total crime is 14% lower than Michigan,Household income is 14% higher than Michigan,Home value is 96% higher than Michigan,HS graduation rate is 12% higher than Michigan
235,Muncie,https://www.areavibes.com/muncie-in/livability/,70,A+,A+,D,F,F,B,D+," 69,583"," $70,000",Cost of living is 16% lower than Indiana,Total crime is 41% higher than Indiana,Household income is 38% lower than Indiana,Home value is 45% lower than Indiana,HS graduation rate is 3% lower than Indiana
236,Manhattan,https://www.areavibes.com/manhattan-ks/livability/,74,A+,C+,D+,D+,C-,B-,D," 55,909"," $190,200",Cost of living is 7% higher than Kansas,Total crime is 2% lower than Kansas,Household income is 14% lower than Kansas,Home value is 41% higher than Kansas,HS graduation rate is 9% higher than Kansas
237,Chapel Hill,https://www.areavibes.com/chapel+hill-nc/livability/,77,A+,F,A-,B-,F,A,B-," 59,005"," $390,300",Cost of living is 26% higher than North Carolina,Total crime is 21% lower than North Carolina,Household income is 35% higher than North Carolina,Home value is 148% higher than North Carolina,HS graduation rate is 16% higher than North Carolina
238,Tampa,https://www.areavibes.com/tampa-fl/livability/,77,A+,C,D+,D,C+,D+,A," 361,477"," $172,100",Cost of living is 1% higher than Florida,Total crime is 24% lower than Florida,Household income is 6% lower than Florida,Home value is 3% higher than Florida,HS graduation rate is equal to Florida
239,Athens,https://www.areavibes.com/athens-oh/livability/,78,A+,B-,A,F,F,A+,C," 24,365"," $164,300",Cost of living is 1% higher than Ohio,Total crime is 33% lower than Ohio,Household income is 56% lower than Ohio,Home value is 25% higher than Ohio,HS graduation rate is 11% higher than Ohio
240,Lynchburg,https://www.areavibes.com/lynchburg-va/livability/,75,A+,B,C,D,F,A-,C," 78,755"," $149,600",Cost of living is 17% lower than Virginia,Total crime is 34% higher than Virginia,Household income is 38% lower than Virginia,Home value is 40% lower than Virginia,HS graduation rate is 1% lower than Virginia
241,Huntsville,https://www.areavibes.com/huntsville-al/livability/,68,A+,C,F,D+,C+,C-,C," 188,973"," $168,900",Cost of living is 10% higher than Alabama,Total crime is 62% higher than Alabama,Household income is 15% higher than Alabama,Home value is 31% higher than Alabama,HS graduation rate is 8% higher than Alabama
242,Arkadelphia,https://www.areavibes.com/arkadelphia-ar/livability/,59,C+,A-,F,D-,F,F,C," 10,728"," $105,800",Cost of living is 1% lower than Arkansas,Total crime is 8% higher than Arkansas,Household income is 29% lower than Arkansas,Home value is 8% lower than Arkansas,HS graduation rate is equal to Arkansas
243,La Mirada,https://www.areavibes.com/la+mirada-ca/livability/,73,A+,F,B+,C+,D-,D+,A+," 49,130"," $448,400",Cost of living is 5% higher than California,Total crime is 30% lower than California,Household income is 28% higher than California,Home value is 10% higher than California,HS graduation rate is 9% higher than California
244,Asheville,https://www.areavibes.com/asheville-nc/livability/,70,A+,C-,F,D+,C,B-,C," 87,531"," $212,000",Cost of living is 7% higher than North Carolina,Total crime is 83% higher than North Carolina,Household income is 7% lower than North Carolina,Home value is 35% higher than North Carolina,HS graduation rate is 9% higher than North Carolina
245,Fredericksburg,https://www.areavibes.com/fredericksburg-va/livability/,72,A+,F,D,D+,D-,A+,C," 27,853"," $321,500",Cost of living is 15% higher than Virginia,Total crime is 95% higher than Virginia,Household income is 18% lower than Virginia,Home value is 29% higher than Virginia,HS graduation rate is 5% higher than Virginia
246,Malibu,https://www.areavibes.com/malibu-ca/livability/,73,C+,F,C,A,C-,A+,A," 12,853"," $1,802,800",Cost of living is 123% higher than California,Total crime is 6% higher than California,Household income is 83% higher than California,Home value is 340% higher than California,HS graduation rate is 21% higher than California
247,Charleston,https://www.areavibes.com/charleston-sc/livability/,77,A+,F,B-,C,C,C-,B+," 129,888"," $269,400",Cost of living is 19% higher than South Carolina,Total crime is 30% lower than South Carolina,Household income is 23% higher than South Carolina,Home value is 88% higher than South Carolina,HS graduation rate is 13% higher than South Carolina
248,Scranton,https://www.areavibes.com/scranton-pa/livability/,67,A+,B,B,D-,F,F,D," 76,380"," $104,500",Cost of living is 10% lower than Pennsylvania,Total crime is 25% higher than Pennsylvania,Household income is 30% lower than Pennsylvania,Home value is 38% lower than Pennsylvania,HS graduation rate is 6% lower than Pennsylvania
249,Columbia,https://www.areavibes.com/columbia-sc/livability/,63,A+,C-,F,D,F,D-,B," 132,537"," $164,200",Cost of living is 5% higher than South Carolina,Total crime is 63% higher than South Carolina,Household income is 9% lower than South Carolina,Home value is 14% higher than South Carolina,HS graduation rate is 3% higher than South Carolina
250,West Point,https://www.areavibes.com/west+point-ny/livability/,74,A+,F,A+,B-,F,A+,D," 6,606", $0,Cost of living is 54% higher than New York,Total crime is equal to New York,Household income is 75% higher than New York,Home value is 100% lower than New York,HS graduation rate is 22% higher than New York
251,Newark,https://www.areavibes.com/newark-nj/livability/,50,A+,F,F,F,F,F,C-," 280,139"," $222,100",Cost of living is 10% lower than New Jersey,Total crime is 84% higher than New Jersey,Household income is 55% lower than New Jersey,Home value is 30% lower than New Jersey,HS graduation rate is 20% lower than New Jersey
252,Azusa,https://www.areavibes.com/azusa-ca/livability/,65,A+,F,C+,D,D-,F,A," 48,498"," $342,000",Cost of living is 7% lower than California,Total crime is 9% lower than California,Household income is 11% lower than California,Home value is 16% lower than California,HS graduation rate is 4% lower than California
253,Williamstown,https://www.areavibes.com/williamstown-ma/livability/,68,A,F,A,C-,F,A+,D-," 4,315"," $331,700",Cost of living is 8% lower than Massachusetts,Total crime is 6% higher than Massachusetts,Household income is 4% lower than Massachusetts,Home value is 3% lower than Massachusetts,HS graduation rate is 4% higher than Massachusetts
254,Princeton,https://www.areavibes.com/princeton-nj/livability/,81,A+,F,A+,A,D+,A+,C-," 30,168"," $811,700",Cost of living is 46% higher than New Jersey,Total crime is 58% lower than New Jersey,Household income is 61% higher than New Jersey,Home value is 157% higher than New Jersey,HS graduation rate is 10% higher than New Jersey
255,San Antonio,https://www.areavibes.com/san+antonio-tx/livability/,80,A+,B+,F,D,B+,B+,A-," 1,439,358"," $121,100",Cost of living is 5% lower than Texas,Total crime is 85% higher than Texas,Household income is 12% lower than Texas,Home value is 15% lower than Texas,HS graduation rate is 1% lower than Texas
256,Chicago,https://www.areavibes.com/chicago-il/livability/,57,A+,F,F,D-,C,F,D," 2,714,017"," $225,200",Cost of living is 14% higher than Illinois,Total crime is 78% higher than Illinois,Household income is 15% lower than Illinois,Home value is 29% higher than Illinois,HS graduation rate is 5% lower than Illinois
257,New Paltz,https://www.areavibes.com/new+paltz-ny/livability/,62,A+,F,B-,F,F,B,D," 7,034"," $290,500",Cost of living is 6% higher than New York,Total crime is 1% lower than New York,Household income is 33% lower than New York,Home value is 1% higher than New York,HS graduation rate is 15% higher than New York
258,Newberg,https://www.areavibes.com/newberg-or/livability/,72,A+,F,D+,D+,C-,B-,C," 22,749"," $228,000",Cost of living is 2% lower than Oregon,Total crime is 17% higher than Oregon,Household income is equal to Oregon,Home value is 8% lower than Oregon,HS graduation rate is equal to Oregon
259,Wellesley,https://www.areavibes.com/wellesley-ma/livability/,78,A+,F,A+,A+,F,A+,D," 28,909"," $980,400",Cost of living is 64% higher than Massachusetts,Total crime is 73% lower than Massachusetts,Household income is 142% higher than Massachusetts,Home value is 188% higher than Massachusetts,HS graduation rate is 12% higher than Massachusetts
260,Laramie,https://www.areavibes.com/laramie-wy/livability/,71,A+,C,A+,D,F,B-,F," 32,096"," $206,700",Cost of living is equal to Wyoming,Total crime is 29% lower than Wyoming,Household income is 32% lower than Wyoming,Home value is 3% higher than Wyoming,HS graduation rate is 7% higher than Wyoming
261,Newport News,https://www.areavibes.com/newport+news-va/livability/,73,A+,C,F,D,F,A,C+," 181,606"," $189,000",Cost of living is 7% lower than Virginia,Total crime is 77% higher than Virginia,Household income is 24% lower than Virginia,Home value is 24% lower than Virginia,HS graduation rate is equal to Virginia
262,Moraga,https://www.areavibes.com/moraga-ca/livability/,78,C+,F,A+,A,D-,A+,B+," 16,977"," $971,700",Cost of living is 55% higher than California,Total crime is 74% lower than California,Household income is 114% higher than California,Home value is 137% higher than California,HS graduation rate is 23% higher than California
263,Laie,https://www.areavibes.com/laie-hi/livability/,73,C,F,B-,C,C+,A+,A+," 5,782"," $641,700",Cost of living is 6% higher than Hawaii,Total crime is 11% lower than Hawaii,Household income is 28% higher than Hawaii,Home value is 19% higher than Hawaii,HS graduation rate is 8% higher than Hawaii
264,University Heights,https://www.areavibes.com/university+heights-oh/livability/,76,A+,C-,B,C+,F,B,D," 13,273"," $154,600",Cost of living is 11% higher than Ohio,Total crime is 11% lower than Ohio,Household income is 29% higher than Ohio,Home value is 17% higher than Ohio,HS graduation rate is 11% higher than Ohio
265,Bloomington,https://www.areavibes.com/bloomington-in/livability/,69,A+,C,F,D-,F,A+,D+," 83,093"," $172,100",Cost of living is 10% higher than Indiana,Total crime is 26% higher than Indiana,Household income is 38% lower than Indiana,Home value is 36% higher than Indiana,HS graduation rate is 9% higher than Indiana
266,Memphis,https://www.areavibes.com/memphis-tn/livability/,65,A+,B+,F,F,C+,F,B-," 655,857"," $93,700",Cost of living is 9% lower than Tennessee,Total crime is 131% higher than Tennessee,Household income is 21% lower than Tennessee,Home value is 36% lower than Tennessee,HS graduation rate is equal to Tennessee
267,Potsdam,https://www.areavibes.com/potsdam-ny/livability/,64,A,C+,D,D-,F,A-,F," 9,682"," $108,700",Cost of living is 19% lower than New York,Total crime is 38% higher than New York,Household income is 42% lower than New York,Home value is 62% lower than New York,HS graduation rate is 10% higher than New York
268,Bryn Mawr,https://www.areavibes.com/bryn+mawr-pa/livability/,78,A+,F,A+,C,F,A+,D+," 3,545"," $266,200",Cost of living is 23% higher than Pennsylvania,Total crime is 69% lower than Pennsylvania,Household income is 1% lower than Pennsylvania,Home value is 59% higher than Pennsylvania,HS graduation rate is 13% higher than Pennsylvania
269,Cedar Rapids,https://www.areavibes.com/cedar+rapids-ia/livability/,76,A+,B,D+,C,F,A+,F," 129,537"," $136,700",Cost of living is 2% higher than Iowa,Total crime is 67% higher than Iowa,Household income is 1% higher than Iowa,Home value is 3% higher than Iowa,HS graduation rate is 2% higher than Iowa
270,Waltham,https://www.areavibes.com/waltham-ma/livability/,74,A+,F,A+,B-,C+,B,F," 62,699"," $434,500",Cost of living is 15% higher than Massachusetts,Total crime is 38% lower than Massachusetts,Household income is 16% higher than Massachusetts,Home value is 27% higher than Massachusetts,HS graduation rate is 3% higher than Massachusetts
271,University,https://www.areavibes.com/university-ms/livability/,74,A+,B+,A+,F,C-,F,B-," 4,499", $0,Cost of living is 3% higher than Mississippi,Total crime is equal to Mississippi,Household income is 100% lower than Mississippi,Home value is 100% lower than Mississippi,HS graduation rate is 84% lower than Mississippi
272,Harrisonburg,https://www.areavibes.com/harrisonburg-va/livability/,76,A+,C,B+,D,F,A,C-," 51,979"," $197,400",Cost of living is 8% lower than Virginia,Total crime is 5% lower than Virginia,Household income is 39% lower than Virginia,Home value is 21% lower than Virginia,HS graduation rate is 4% lower than Virginia
273,Hanover,https://www.areavibes.com/hanover-in/livability/,75,D,B+,B+,D-,B,B-,C," 3,525"," $82,500",Cost of living is 6% lower than Indiana,Total crime is 35% lower than Indiana,Household income is 13% lower than Indiana,Home value is 35% lower than Indiana,HS graduation rate is 7% lower than Indiana
274,Wilmington,https://www.areavibes.com/wilmington-nc/livability/,64,A+,D,F,D,F,D+,B-," 113,724"," $224,300",Cost of living is 11% higher than North Carolina,Total crime is 46% higher than North Carolina,Household income is 9% lower than North Carolina,Home value is 43% higher than North Carolina,HS graduation rate is 7% higher than North Carolina
275,Athens,https://www.areavibes.com/athens-ga/livability/,67,A+,B-,D,F,D-,F,B-," 120,813"," $152,600",Cost of living is equal to Georgia,Total crime is 11% higher than Georgia,Household income is 35% lower than Georgia,Home value is equal to Georgia,HS graduation rate is 2% higher than Georgia
276,Evanston,https://www.areavibes.com/evanston-il/livability/,69,A+,F,B+,B-,D-,D+,D-," 75,472"," $356,600",Cost of living is 32% higher than Illinois,Total crime is 3% higher than Illinois,Household income is 20% higher than Illinois,Home value is 104% higher than Illinois,HS graduation rate is 9% higher than Illinois
277,Dayton,https://www.areavibes.com/dayton-oh/livability/,61,A+,A-,F,F,F,F,D," 141,143"," $66,600",Cost of living is 8% lower than Ohio,Total crime is 92% higher than Ohio,Household income is 43% lower than Ohio,Home value is 50% lower than Ohio,HS graduation rate is 9% lower than Ohio
278,Fort Lauderdale,https://www.areavibes.com/fort+lauderdale-fl/livability/,66,A+,F,F,D+,D,F,A," 175,153"," $273,400",Cost of living is 15% higher than Florida,Total crime is 110% higher than Florida,Household income is 6% higher than Florida,Home value is 64% higher than Florida,HS graduation rate is equal to Florida
279,Portland,https://www.areavibes.com/portland-or/livability/,66,A+,F,F,C-,C-,C,C," 620,589"," $319,400",Cost of living is 8% higher than Oregon,Total crime is 89% higher than Oregon,Household income is 10% higher than Oregon,Home value is 29% higher than Oregon,HS graduation rate is 3% higher than Oregon
280,Rochester,https://www.areavibes.com/rochester-ny/livability/,54,A+,B+,F,F,F,F,D," 210,291"," $77,800",Cost of living is 26% lower than New York,Total crime is 151% higher than New York,Household income is 48% lower than New York,Home value is 73% lower than New York,HS graduation rate is 9% lower than New York
281,Santa Clarita,https://www.areavibes.com/santa+clarita-ca/livability/,74,A+,F,A,C,D+,C,B," 180,303"," $417,400",Cost of living is 2% higher than California,Total crime is 46% lower than California,Household income is 33% higher than California,Home value is 2% higher than California,HS graduation rate is 9% higher than California
282,Upland,https://www.areavibes.com/upland-in/livability/,73,D+,B,A-,D+,F,A+,D+," 3,663"," $126,900",Cost of living is 1% higher than Indiana,Total crime is 45% lower than Indiana,Household income is 4% higher than Indiana,Home value is equal to Indiana,HS graduation rate is 14% higher than Indiana
283,Grand Rapids,https://www.areavibes.com/grand+rapids-mi/livability/,66,A+,B,F,D-,B-,F,D-," 193,887"," $113,600",Cost of living is 1% higher than Michigan,Total crime is 24% higher than Michigan,Household income is 17% lower than Michigan,Home value is 11% lower than Michigan,HS graduation rate is 5% lower than Michigan
284,San Marcos,https://www.areavibes.com/san+marcos-tx/livability/,77,A+,B,C,F,D-,B+,B-," 57,743"," $151,700",Cost of living is 1% higher than Texas,Total crime is 12% lower than Texas,Household income is 43% lower than Texas,Home value is 6% higher than Texas,HS graduation rate is 4% higher than Texas
285,Fresno,https://www.areavibes.com/fresno-ca/livability/,63,A+,D,F,F,D+,F,B+," 513,807"," $187,500",Cost of living is 24% lower than California,Total crime is 50% higher than California,Household income is 34% lower than California,Home value is 54% lower than California,HS graduation rate is 10% lower than California
286,Geneva,https://www.areavibes.com/geneva-ny/livability/,72,A+,B+,B,D-,F,D,D," 13,136"," $91,000",Cost of living is 27% lower than New York,Total crime is 31% higher than New York,Household income is 37% lower than New York,Home value is 68% lower than New York,HS graduation rate is 1% lower than New York
287,Winter Park,https://www.areavibes.com/winter+park-fl/livability/,78,A+,F,C,B,D+,C+,A," 29,543"," $340,400",Cost of living is 18% higher than Florida,Total crime is 17% higher than Florida,Household income is 28% higher than Florida,Home value is 104% higher than Florida,HS graduation rate is 13% higher than Florida
288,Gainesville,https://www.areavibes.com/gainesville-fl/livability/,71,A+,C+,F,D-,D,C,A," 128,610"," $143,900",Cost of living is 4% lower than Florida,Total crime is 48% higher than Florida,Household income is 33% lower than Florida,Home value is 14% lower than Florida,HS graduation rate is 6% higher than Florida
289,San Francisco,https://www.areavibes.com/san+francisco-ca/livability/,68,A+,F,F,B+,B+,D+,B+," 850,282"," $858,800",Cost of living is 46% higher than California,Total crime is 134% higher than California,Household income is 37% higher than California,Home value is 110% higher than California,HS graduation rate is 8% higher than California
290,Washington,https://www.areavibes.com/washington-pa/livability/,71,A+,B,C-,F,F,B,D," 13,693"," $95,000",Cost of living is 11% lower than Pennsylvania,Total crime is 31% higher than Pennsylvania,Household income is 33% lower than Pennsylvania,Home value is 43% lower than Pennsylvania,HS graduation rate is 3% lower than Pennsylvania
291,Madison,https://www.areavibes.com/madison-wi/livability/,70,A+,D-,C-,C,B-,F,D-," 246,034"," $217,000",Cost of living is 13% higher than Wisconsin,Total crime is 43% higher than Wisconsin,Household income is 3% higher than Wisconsin,Home value is 30% higher than Wisconsin,HS graduation rate is 6% higher than Wisconsin
